sentence,label
以前有个医生说可以吃红花还是什么,咨询食疗
我听别人说做了还是会长，算了,咨询疗效
炔䧳醇环丙孕酮片漏服了一天的怎么办？,咨询治疗方式
我的内膜才0.2咋子才增加内膜厚度,咨询治疗方式
请问做完宫腔镜，几天之后我喝酒吃辣了,咨询恢复期
请问孕酮低是什么,咨询病因
做输卵管造影后多久可以怀孕，对胎儿发育有影响吗？,咨询恢复期
胃会微微刺痛吗？,无
要上班   我看空了过来嘛,确定预约时间
我们县城里做不了，我想去你们医院做,确定预约时间
可以寄药吗？,无
怎样补啦,咨询食疗
项目有哪些,咨询项目介绍
农7472p857,无
请问医生手术后伤口需要贴创可贴多久啊,无
小心丿066659.36,无
696333339书!,无
等会儿我去拿报告单,确定预约时间
红花会不会导致流产,咨询危害
这种情况小孩生下来会不会成傻子,无
排卵期感冒了，吃了氨酚黄那敏，和999感冒灵，后来发现怀孕了，对孩子有影响吗？,咨询药物
做了一两次。会有嘛？,无
全刮会导致内膜癌细胞扩散吗?,咨询副作用
住院需要预约吗,确定预约时间
这怎么个取精方法,无
微信是你私人的吗？,无
如果做手术能不能恢复？,咨询疗效
我做不了手术。,咨询治疗方式
我们在藏区，有点远，害怕时间不够，到时候白跑一趟，等下次时间充足是可以再来,确定预约时间
残留物。,无
像我这种不做手术行吗？,咨询治疗方式
这个哪里买,无
医生哪里,咨询专家
取环多久能怀孕,咨询危害
星期六可以可以做手术吗,确定预约时间
我就是怕出问题了娃娃,咨询危害
我想问下你们那儿能治这个嘛？,咨询治疗方式
所以我想你们挺出名的，能治疗的话就一起了,确定预约时间
不管哪种都能接好吗,无
我在外面过几天在回家,无
你发口口吧，我加,咨询QQ
就是，那个是不是月经来完以后两三天，空腹？,咨询检查最佳时间
避孕药不能吃多了呀,无
黄体酮是以前没有,无
引产后3个月可以同房嘛,咨询恢复期
你们医院在开展没有呢,无
破腹产生了两个娃做了节育手术还想再生可以吗,描述就诊史
人工受精女方受罪吗,咨询疼痛程度
生了一胎几年后输卵管会堵吗,咨询危害
好的，我现在去登陆,无
我主要是担心自己有高原反应,无
激素是指什么,无
45岁生二胎有那些风险,咨询危害
那现在可以同房、吃辣吗？？,咨询食疗
先加QQ吧,确定联系意愿
一朋友说他在住院。。我问一下,无
结核已经侵犯到子宫了的情况下可以治疗吗,咨询治疗方式
我的环已经安了10多年了，会很痛哇,描述就诊史
附睾炎导致输精管堵塞能治吗？,咨询治疗方式
说没得事的，以后还会有的,无
我想知道，如果我得了的话，会不会做手术啊？,咨询治疗方式
我就是说想问一下，要是同房的话，会不会,无
会不会是输精管堵了,咨询病因
这里可以看男女吗？,咨询公司介绍
月经前同房不影响哈,咨询危害
这种情况常见吗？,无
要不你加我的微信，我给你说的号码，我加不来。,确定联系意愿
备孕前吃板蓝根可以吗,咨询注意事项
破处痛吗？,无
在那个位置,咨询地址
肾虚咋可能嘛，我可是铁肾,无
30分钟到,确定预约时间
不知道我就是问你们，我什么时候可以取啊,无
好的，下午我还不确定，,无
意思是等几天看吗,咨询检查最佳时间
预备下个月取,确定预约时间
明天查,确定预约时间
什么项目,咨询项目介绍
结扎男人做好点还是女人,咨询手术
我在药店买的，她给我的是包装上写的孕妇和哺乳期妇女可用，这种能用吗,咨询药物
我就想知道有没有啥药，或者什么补充营养的东西，对这方面是有帮助的,咨询药物
好的，我加QQ,确定联系意愿
畸形概率,无
哦 好  做完流产手术后面一个月都相当于坐月子是不,无
结扎可以恢复吗,咨询疗效
我想做输卵管堵塞手术，需要提前预约吗？,确定预约时间
不用挂号，周杰伦来就可以诊断吗,无
等一下有空就过来,确定预约时间
我考虑下。你先加微信,确定联系意愿
要是这个月经量少点点，下个月恢复了，我是不是就可以不管了,描述症状
做卵巢囊肿手术大概需要多久才能恢复,咨询疗程
那成功机会没有哦,无
吃过饭也没问题吧,咨询注意事项
第二个月是指术后多久,无
怀孕初期饮食需要注意什么？,咨询食疗
两种都是避孕药,无
不成功的话钱退吗,无
平时饮食应该注意什么？,咨询食疗
你不是说找医生的嘛，,咨询专家
这是谁的号？,无
吴朝芬,咨询专家
为什么有些人都说是做了人流之后要半年半年才能要孩子呢,无
可以打排卵针吗,咨询治疗方式
吃冷锅鱼有影响吗？,咨询危害
我想问一下，你们这边可以选择姓名啊？,无
如果你们医院手术专业到你们哪里做也可以,咨询公立私立
如何用药治疗,咨询药物
做了手术过后多久不能剧烈运动？,咨询恢复期
我用我男人的微信可以？,确定联系意愿
治疗就是只给你药吃吗,咨询治疗方式
只加你的微信,确定联系意愿
质量算高的吗？,无
一般移植几天知道怀孕了,咨询检查最佳时间
是私立医院,无
专家你好,咨询专家
没有儿科是什么老师？,无
离东站近还是茶店子客运站近,无
我到济南那边去,无
我不知道你帮我介绍一下,咨询公司介绍
做了人流后好久来月经,无
请电话,确定联系意愿
黄体酮标准是多少,无
进手术室多久才出来,咨询手术时长
前后分别多少天呢,咨询疗程
输精管堵塞症状会自愈吗,无
因为疼痛,无
你好，主要是想问下你医院有男科理疗项目没？,咨询项目介绍
因为我上个月27八号左右吃了牙齿痛的药，我怕这个有没有影响,描述就诊史
哦，我是怕刚手术又怀孕对身体不好,无
有没有这种可能 长到2.几,无
电话好多,无
你好：请问一下我是卵巢早衰有9年时间了，现在43岁，曾经生育过一小孩，16岁了。做过2次人流，像我这种情况还能调理好吗？（主要还想要个孩子）大概要多少时间呢,咨询治疗方式
现在想问问再生的话 排卵针打了可以生两个吗,无
是多久呢,咨询疗程
可以治疗好，我叫他们在成都治,无
治疗好了就可以了吗？,无
需要几天,咨询疗程
中度精索静脉曲张能自愈吗,无
我问的经期过后第几天可以同房呢？,无
我搜成都可以做试管的医院，你们医院第一个蹦出来了,无
你们医院明天可以做人流吗？,确定预约时间
这种病严重吗，会不会很难治愈,咨询危害
还有那医院感觉不靠谱,无
微创手术伤口没有拆线对胶布过敏，伤口不包行不行,咨询注意事项
骗人没有？我说的是手术,无
取环后两周可以同房吗？,咨询恢复期
请问医生有问题吗,咨询危害
我的朋友，男性24岁在外地检查是叹毒引起的不孕不育，说精子死的，能治好吗,咨询疗效
做了人流好久才来月经,无
还是三甲医院,无
这个需要一直敷药吗,咨询药物
我们这边人民医院说以后生不出来了，这可以能医好吗？,咨询疗效
做试管之前,咨询术前准备
留你的吧！明天打给你,咨询电话
会不会有这些后遗症嘛？,咨询危害
明后天要月经干净一两天才能取,无
要等这次手术之后休息好了才能来,无
当时主要是听别人说通输卵管很痛,咨询疼痛程度
请问打了促排好久能代谢完,咨询恢复期
我很确定是那种痛,无
还有做了手术影响哺乳吗？当天可以做吗？,咨询副作用
这几天有会诊吗？,咨询专家
你好    请问一下取了环第二个月就怀孕了    可以要吗,无
无痛人流多久能做,咨询手术
这是扣扣还是微信呐？,确定联系意愿
晚上看不清后天白天我休息发给你，通输卵管听朋友说很痛。,咨询疼痛程度
这是我电话，可电话联系,确定联系意愿
现在可以同房吗,无
关键是能保证通嘛,咨询疗效
安了痛还流血,描述症状
剖腹产二个，。。三个月前做过人流手术，现在备孕中，影响怀孕吗,咨询副作用
做不孕的话可以吃饭？,咨询注意事项
你们以前没有见过这种情况吗,无
我嫂子在那里一次就治好了，应该还是有能力吧。,无
如果是怀孕的话 小肚子按了会痛吗,咨询项目介绍
一点效果都没'有,无
14785880843  我电话 下午你给我电话联系吧 我在上班,确定联系意愿
他们说，做二代的成功率，没有做第三代的高。,咨询项目介绍
盆腔积液可以喝水吗,咨询食疗
马上住院为什么,无
在40多天我吃了火锅  里面的螃蟹  会有影响吗？,咨询危害
我想问一下怎么去医院查,确定预约时间
过程，需要做些什么,咨询注意事项
你这医生当的,无
那你觉得我还有救吗,咨询疗效
那你看我手淫这么多年还有救吗,咨询疗效
一般上午取还是下午h,无
我觉得电话咨询比电脑对话要说的更加详细些,确定联系意愿
就是，这种能受孕吗？单纯吃中药能治好吗？,咨询疗效
的17713816725,确定联系意愿
必须做手术吗？己经30岁了,咨询治疗方式
排卵期前后哪几天最好不同房啊,无
我想尽快手术,确定预约时间
你方便联系我吗？,确定联系意愿
贺海龙,咨询专家
病好了吗？,无
我的主管医生就是丁汝平,描述就诊史
之前有去中医拔过脉，说是有粘连，用了中药敷肚子和宽肠，这对后续检查和治疗有影响吗,咨询危害
在次做对身体有什么伤害吗,咨询危害
我上环一个月今天提了十几斤东西会掉吗？,无
说明书上有两种吃法，一种是间隔22天吃第二颗，另外一种是月经的5天吃一颗跟第10天吃一颗,无
我们可以电话沟通吗？我想有时间直接到你们这边来看看     以前是人流,咨询电话
又不是很痛呢,描述症状
哪里也不痛？,咨询疼痛程度
而当时好几个医生，但是是哪一个忘记了？,咨询专家
那月经期间能不能日批,无
流产前需要空腹吗？,咨询术前准备
高铁动车直接过来了,无
戴套也不能同房,无
是的，现在准备手术,描述就诊史
手机号可以吗？,确定联系意愿
不知道什么是ab级,无
痛不痛需要住院吗,咨询疼痛程度
除了中间那一天，前后多久,咨询疗程
这个手术一般需要做多少天院呢？,咨询恢复期
秋，彝族年放假通知你记到出哈，11月11号到15号上班，16号正常周六休息，17号18号19号上班，20号到26号放假，27号到30号上班，,无
我老婆准备去做结扎手术，但做结扎手术前几天可以同房吗？,咨询术前准备
带套子都不可以吗,无
抽血浆有什么坏处没,咨询危害
做完造影流血吗？,咨询检查方式
休息吗,咨询恢复期
你让工作人员打过来吧,确定联系意愿
我还以为1一2天就可以了哦,咨询疗程
但是事情已经发生了 需要做哪些事情去预防,咨询治疗方式
来的时候是不是需要准备什么吗,咨询注意事项
对呀，从发现怀孕，到可以做手术这个过程大概需要多久，不是问你做手术需要多久！,咨询疗程
那在那里下嘛？,咨询路线
一般多久可以同房，富通会疼吗？,咨询疼痛程度
我现在想了解的是我术后半个月同房，会不会造成手术失败,咨询注意事项
我是美术设计师,无
那要按到久时间了,无
好，2.4的1.7，我意思是打针给卵泡打破有没有副作用,咨询副作用
那打了会怎么样呢,咨询副作用
甲五呢,咨询检查方式
嗯，需要几天的时间呢？,咨询疗程
没有住院,无
要不要像坐月子那样休息了,咨询恢复期
人民中路二段？那不用，我开车过来一会，你们几点下班,咨询上班时间
嗷，那我能问一下，做了的话有没有什么影响呢,咨询危害
qq嘛,确定联系意愿
我拍了图 有医生可以看看吗,无
叫我QQ吧,确定联系意愿
请问今天眼科郭祥文医生在坐诊吗？,咨询专家
就是胸感觉变大了一点，然后捏着有点痛没什么问题吧,咨询危害
今年42岁吃了副作用大吗,咨询危害
准备呢,无
通水需要几天时间,咨询疗程
我朋友叫我去做通水，我怕痛，就没钱去,无
如果在外面弄了送医院呢。最多可以待多久,无
听别人说一般不是一个月就可以吗？,咨询疗程
卡美乐祛斑霜用了会影响孕前体验吗,咨询注意事项
A级要达到多少才合适,无
还要多久,咨询疗程
不会腹痛什么的吗,咨询危害
请问您输卵管微创手术1年后怀孕了，伤口有影响么？33岁,咨询危害
一般几天十多天,描述症状
到时间就要取啊？,无
在正规医院,描述就诊史
会偏小吗,无
一般像这种情况，要来多久,无
属于三甲医院,无
就是打了之后该有些什么反应,咨询疗效
就是住在医院,无
会掉出来？,无
做手术前需要吃药吗,咨询术前准备
我老婆怕疼,咨询疼痛程度
我了解过，然后他们跟我说做造影无痛的，然后可以检查到输卵管是不是堵塞，但是我想知道就是这个东西对身体有伤害吗？或者说做了之后多久不能同房吗？,咨询副作用
如果我想改扎会不会很容易痛呢,咨询疼痛程度
住院吧,无
百度手机下拉合作QQ  786650308,无
照影需要多久时间,咨询检查方式
我可以做一些高难度的动作吗,咨询注意事项
前期有啥准备？,咨询注意事项
那你说的那个不疼的是吗？,咨询疼痛程度
哦哦，那是打的无痛针吗,咨询疼痛程度
一家私立医院,无
好的，就是问一下第二次吃会不会流血,咨询危害
只有上班时间才可以，还是星期六星期天可以不,确定预约时间
搜狗问问，名医在线，抖音医疗开户联系QQ：897448499,无
医生你能问我哪些地方有点涨涨的感觉，或者是哪些地方没有涨涨的感觉行吗？，微信用不了，QQ也用不了,确定联系意愿
我在网上查说要到三甲医院看,无
请问后天有治多囊卵巢的专家上班不？,咨询上班时间
要先消炎好才能做手术是吧，,咨询术前准备
你好，我这边有搜狗问问移动端流量；每天有800多万独立IP访客。可以接wz qp jz cp bc 等广告，竞价广告，你看这资源在贵公司推广中用得上吗？Q：591534518,无
但是我不想去公立,无
大概要多久呢,咨询疗程
要多久才可以,咨询疗程
如果检查好，当天就可以做手术吗,确定预约时间
请问武医生今天上班吗,咨询专家
可再观察几天还是马上应该去医院,确定预约时间
大概是怎么样一个过程,咨询疗程
做手术啊,无
公司入职体检要求在二甲医院做,咨询公立私立
就是想问一下，手术后20天同房有什么后遗症,咨询危害
第一次690，第二次1396,无
去过，没有问题,描述就诊史
等会吧，在我嫂子那里，呆会我喊他拍照给我,确定联系意愿
那怎么知道自己是不是不孕呢,咨询检查方式
就是还没反应,无
你加我还是我加你,确定联系意愿
麻烦专家我拍张照片你帮我看看的,无
意思还是要服药嘛,无
最气人的就是我献血的时候医院打电话说我的血液不能用,无
不孕不肓的医院,无
刚刚在忙,无
就是不懂,无
我想问一下今天刚做的人流医生给开了孕妇禁用药可以吃吗,咨询药物
造影剂是什么,无
就是今天一直都是想睡觉,描述症状
涉及到手术必须要家长陪同吗,咨询术前准备
质量不行,无
只有4.7,无
我想查一下。以前结扎的部分。现在想做腹痛手术，不知能不能查,咨询检查方式
下午吃了紧急梅婷72小时，晚上又同房了，会怀孕吗？,描述就诊史
我给她发微信都是她助理回复,无
医生建议,无
又不想吃药,咨询治疗方式
报告在医生哪,咨询专家
做的没有报告,无
2.1*1.2,无
腹部彩超,咨询检查方式
宫腔镜,咨询项目介绍
。医生没说,无
所以麻烦你给他打个电话问问详情,确定联系意愿
男方精液,无
不做手术，吃药行吗,咨询药物
我有没有什么问题,咨询危害
加过我都没有丢掉了,无
做输卵管造影还需要做其他检查吗,咨询注意事项
等我去问她们有没有报告,无
我想问下两个人在一起最快多久可以怀孕,无
无精分几种,咨询项目介绍
不早了吧， 昨天那个医生说还要等一个星期才能看出来， 会不会是就这两天才怀孕的，她昨天去看不出来，喊她再等一个星期， 我想看看我女朋友是不是背着我跟别人同床，我跟她同床是14号左右,描述就诊史
加一下微信吧，这个平台不方便,确定联系意愿
打B超能看出娃娃怀孕几周吗,咨询检查方式
只要一坨留出来了，都不得痛了,无
要接中间段的尿是不,咨询注意事项
打算7月几号,无
我是她以前怀上的病人，介绍说,无
这个月移植有没有问题啊？,确定预约时间
出去旅游可以不呢,咨询注意事项
21号在乡镇医院，23号在市儿童保健院,描述就诊史
宫颈癌筛查,咨询检查方式
，没看过。,无
我没拿,无
我好没去见医生,无
今年26岁，精液检查出来里面有红细胞，在活动的精子大概10-20左右，存活率大概35%-40%左右,描述就诊史
还有我这左边好像附睾有点不太一样，又不痛不痒，不知道怎么回事,咨询病因
不会，都到要完的时候了，可能就明后天吧,无
怎样容易坏,咨询治疗方式
离十人民医院远不远,咨询地址
你的给我吧,确定联系意愿
我可以给您描述一下,无
您的工作微信医生也看不到啊,无
输卵管上举必须做腹腔镜吗,咨询手术
我想了解一下什么情况不做腹腔镜,咨询手术
这个可以用中药调理吗,咨询治疗方式
去医院不也是试纸检查吗,无
她说一个星期都没涨  她说有问题  叫我清宫了   我想请你们老师帮我看看怎么回事   麻烦你们了,咨询病因
22岁呢，穿刺结果,无
可以避免左侧不,无
叶酸会影响胎停育吗,咨询药物
前期数值这么低，会不会代表发育不好,咨询危害
但是我不知道是吃的紧急避孕药还是一般的避孕药,描述就诊史
你好医生我就是结扎几年了，跟前夫离婚了，现在想再生个孩子，能不能做手术,咨询手术
四十多天不能做吧,咨询检查最佳时间
不是前列炎，就精囊炎了，,咨询项目介绍
我今早也喝了的 需要停药吗 如果4号列假来了 确定没怀再喝,描述就诊史
我加你吧 就是刚刚那电话嘛,咨询微信
堵塞的可以切除吗,咨询治疗方式
跟畸形率有关心啊嘛吗,咨询病因
我想用QQ,确定联系意愿
比起以前,无
德阳华大医院费用高,无
只是射出来前面一些是水后面的就是我拍给你看的,描述症状
怎么看,咨询检查方式
这需要打比超不呢,咨询检查方式
还是书面说吧我耳朵有点不好,确定联系意愿
随时都可以是吗,确定预约时间
那个时候一不小心就有了,无
给钱不,咨询价格
熊猫血有什么注意的呢,咨询注意事项
就清洁度一个问题其他都没有,无
是天生就会这样吗,无
怎么了,咨询项目介绍
那我明天去买还是试吗,无
祝医生,咨询专家
约了那个啥要等到7月29号才去,无
好的，我马上加你哈,确定联系意愿
你们医院可以治疗嘛,咨询治疗方式
扣扣不,确定联系意愿
下午吧,确定预约时间
到医院,无
严巨容,咨询专家
老师是叫杨丹,咨询专家
我黄体酮打的是40毫克需要加量吗？,描述就诊史
壹腹部,咨询项目介绍
怎么调理？药物吗,咨询治疗方式
是的，说是手术。我这边昨天刚来月经不知道什么时候过去做合适,咨询手术
不是死精对吗,咨询项目介绍
是不是要等月经干净了才去,咨询注意事项
总数是偶见,无
以前有这种情况   4月份手术后  月经正常  也不出血  现在又出血了,描述就诊史
CT嘛,咨询检查方式
是不是还需要做一些交叉拍出原因,无
两侧都留了点,无
26岁准备做人做受精,咨询项目介绍
就想看看能不能不做,无
往宫颈塞了点药。会影响孩子吗？,咨询药物
那以后尽量不吃了   不知道会不会不痛经了,无
一般是多久？,咨询疗程
我不会加,无
胸怎样才能发育快,咨询治疗方式
胸怎样才能发育,咨询治疗方式
有两次见红了,描述症状
3.1cmx1.9cm（阴道B超）,描述症状
能医嘛这种情况,咨询治疗方式
我只是做造影,无
但是我确定不手术,咨询治疗方式
有副作用吗,咨询危害
一个月日，一个月半的可以移植吗？,咨询术前准备
我在上班  现在不太方便聊,无
几百元的多久可以要,无
精子怎么排出,咨询治疗方式
你发个过来,确定联系意愿
为什么其他医院都没有一定要我家呀？,无
可是你加了我你也不懂啊,无
有可俞性嘛？,咨询疗效
有影响,无
我可以打电话给你吗,确定联系意愿
内分泌肯定失调，就是这个还要去检查下基数,咨询检查方式
吃啥能是卵泡生长,咨询食疗
今天没时间过来,无
怀孕女人被两个男人做过会怎么样,咨询危害
那你在微信推荐一个医生，我可以找在网上他看一下，推荐药物吗,无
必须手术吗？,咨询治疗方式
你是男医生吗,无
你们那里做那种,无
如果做有什么影响呢,咨询副作用
连续手淫几天后同房，妻子胚胎停育，有关系吗？,咨询病因
好的，我明天加你可以嘛？,确定联系意愿
是长不大,无
能不能就在这儿说啊？,确定联系意愿
我想咨询一下染色体出现了小Y有什么问题,咨询危害
无法改变是什么意思啊,无
那个不用吃药什么的吗？,咨询治疗方式
关键你们能否治疗这种,咨询治疗方式
什么是结扎,咨询手术
啥咨询号,无
要用什么洗好呢,咨询药物
还有没有其他可能呢？,咨询项目介绍
我意思是打排卵针一般在月经后几天开始去医院,咨询注意事项
好Ren23349040,无
做一些什么检查确定原因或者怎么治疗,咨询治疗方式
那是不是很慢长。过程,咨询疗程
我看你们是成都,无
男人结育十多年后又生了一个孩子。是不是输精管通了？,描述就诊史
就是男生第一次破处，不知道自己有没有射进去，要吃避孕药吗？,咨询药物
稍等我给你找报告,无
1.6*1.0,无
最好几天后去,咨询检查最佳时间
一般情况下这种都可以治疗吧？,咨询治疗方式
如果安排同房的话，最好是今天还是明天呢，这种情况,无
就是正在吃精子少的药  可以要孩子吗,咨询注意事项
我有一个你们医院的微信,确定联系意愿
丽娜是你吗,无
就是想问问还有什么放大吗？,无
请问怎么治，需要手术吗,咨询治疗方式
你说的这些症状有什么好的预防,咨询项目介绍
就说了子宫内膜增厚，在过几天去处理,确定预约时间
不知道身体怎么样,咨询检查方式
我想咨询一下方便回个电话吗15285416477,确定联系意愿
我明天把片子发给你,确定联系意愿
感冒真的不会影响质量吗？，我还没有好彻底，没有吃药，一般4.5天就完全好了,咨询危害
腹腔镜手术1个月后，伤口处有白色的液体，是发炎了么,咨询项目介绍
子宫恢复的好的话是现在都可以的吗？,无
😢先就在宜宾吧，成都太远了,无
29号下午 2点半,确定预约时间
138的呢,咨询电话
你可以用字打，给我发过来，如果发不过来，那我就等我的手机充满加,无
流产后25天可以同房吗？,咨询恢复期
随时都要做好措施吗,咨询注意事项
那这个有什么毛病吗？,咨询项目介绍
等忙过来再来,确定预约时间
那你发过来,确定联系意愿
不知道怎么弄,咨询治疗方式
有没有风险呀,咨询危害
你好 男性接扎了以后 想要在生育 可以再恢复吗,咨询手术
这个年龄会长嘛,无
这个有什么问题,咨询项目介绍
是电话号码,确定联系意愿
等多久可以呢,咨询检查最佳时间
需要几天时间,咨询疗程
你的意思是说，这次月经干净了，在等下次月经干净才能去是不是,咨询检查最佳时间
怎么样补精子质量,咨询食疗
我是结扎了又做了吻合手术、现在三个月了也没怀上、是不是手术失败了啊,描述就诊史
准备做,确定预约时间
我把电话号码你能加吗,确定联系意愿
又得吃抗生素,无
4.5×3.3×3.5cm,无
那你加我扣扣,确定联系意愿
刚做完人流后一个月如果同房会怀孕吗,无
请问精子顶体酶活性量检测很低，怎么办？还有弹性硬蛋白酶定量测定6078ng/ml,咨询治疗方式
我以前打了两个，会不会给这个有关系,咨询病因
必须手术？,咨询治疗方式
你这专业不噢,咨询公立私立
我想问一下，一边输暖管堵塞一边切除了半边。。是不是也可以做疏通手术,咨询手术
医生面诊也该听懂我说的什么了,无
孕铜2点多,描述症状
中药治疗吗,咨询治疗方式
二胎后需要做些什么修复,咨询治疗方式
这种做法，有益吗？,咨询疗效
请问这个医院可以做人流吗,咨询手术
要孩子最快方法,咨询治疗方式
人流后多久来列假？,无
就想问下不治对身体有害吗,咨询危害
1.6×0.3的残留物多吗？,咨询项目介绍
列假完什么时候来看病,确定预约时间
那你的电话号码多少，我加你微信,咨询电话
做试管容易感染是吗？,咨询副作用
感觉对身体不太好,咨询危害
手淫过多，精液透明能调养回来吗,咨询治疗方式
需要做手术嘛，还有其他的方法吗,咨询治疗方式
我想预约一下人流手术,确定预约时间
胆结石     会不会影响体检,咨询注意事项
没有我想知道的是，是不是肾出现了问题,咨询病因
男生吃什么药会怀孕？男生吃什么会怀孕。,咨询药物
大概多久才能怀孕？,无
怀孕前需要戒哪些食品,咨询注意事项
还会长大吗,咨询项目介绍
你们觉得有问题不，就是我肚子疼的很,咨询危害
你好医生，我宫内膜单纯性增生已一年多了，每次都要增刮手术，该吃什么药,咨询药物
哦，好的，我们商量好后带检查报告来,无
我想咨询一下输卵管堵塞能治吗？,咨询治疗方式
珍珠疹,咨询项目介绍
看看有没有瘤子,咨询检查方式
现在没时间去,无
现在能取吗？,确定预约时间
准备住院,无
怎么了长时间呀那不痛死了吗,无
不能请太久的假,咨询住院
不需要休息很久吧,咨询恢复期
因为避孕药会带来较大的副作用,无
不是停止发育,无
不是医生,咨询专家
那这个能调理好吗,咨询治疗方式
是，准备做,确定预约时间
想问问，吃药不能缓解痛吗，天天痛,咨询药物
成都送子鸟做供卵吗,咨询项目介绍
我加你 我记不住我的,咨询微信
成都中医大那个专科医院,无
比如摸睾丸有啥子症状,无
我就是想考虑一下来成都,无
买到这种药。,无
多久可以要孩子呀,无
加我QQ可以不,确定联系意愿
我想问下你们是司立医院还是,咨询公立私立
了解一下有风险吗,咨询危害
不会有其他什么吧,咨询危害
会头晕？,咨询危害
可不可以吃生精片,咨询药物
不吃药不会来,描述症状
两个月了还可以做吗？,无
多久可以怀孕,无
如果说还有甲减呢,描述症状
只有成都有吗,咨询地址
如果不预约呢,无
能治好么？你刚才说得哪几种……,咨询疗效
结扎后吻合不知成功没有,描述就诊史
啊！这么远,无
你加我qq嘛,确定联系意愿
我马上去拿,无
高萍妇幼保健医院,咨询专家
我确定过来在找你,无
像牛奶一样吗,咨询项目介绍
先天性的，能治吗？,咨询治疗方式
对  我这边想过来看看,确定预约时间
动手术之中的左边,无
微创疤痕有多大？,无
做手朮就安全吗,咨询副作用
吃过感冒药  是不是得3个月后才可以怀孕哦,描述就诊史
我得了解脲脲支原体阳性，两次怀孕都胎停，请问，是这个病的原因吗？你们医院有治这个病的药吗？,咨询病因
是的医生，我就想咨询一下,无
所以不需要通水，直接做造型吗？,咨询检查方式
如果你们不能做，电话联系也是一样的,无
在休息了吗,咨询上班时间
可能要等空了才来,确定预约时间
今天早上吃了一个鸡蛋查会有影响吗,咨询注意事项
我在达州文星，明天就去福建了,无
术后15天应该不会吧,咨询注意事项
吃药就正常吧,咨询药物
质量应该有点不行吧，,无
手机麻烦不,无
就是问问您吃红花影响受孕吗,咨询危害
40了、没有备孕、前面都有抽烟喝酒的！没有刻意的去注意什么！,无
做了是不是3-6月都不能怀孕,咨询注意事项
意思是3到6个月不会在堵吗,咨询疗效
我还想问我以前身体有钢板，现在去做手术拿掉了，要多久要小孩才没有影响,描述就诊史
取环多需要养多久？,咨询恢复期
我其实想资询下是可以打针来阻止复发的吗,咨询治疗方式
哪诊刮是怎么做的呢好的怎么加微信,咨询手术
QQ也行吗,确定联系意愿
我想休息了、老师加个微信明天联系,咨询微信
谁的检查报告？,无
可以转接过去不？,无
我们可以微信说嘛,确定联系意愿
用药刺激不是对身体有害吗，会不会影响娃娃呢,咨询药物
做试管的医院,咨询公司介绍
好，我马上加你，你贵姓,确定联系意愿
网上评价 有些说的不好,无
你给我打个电话,确定联系意愿
你是医生还是我是医生？,无
我有需要加你吧,确定联系意愿
婚前检查在哪个医院做？,咨询检查方式
你好，备孕期间有没有什么要注意的比如饮食上,咨询食疗
等级不都一样吗,无
我家你微信吗？,确定联系意愿
滴度1:1是不是可以不用治疗的,咨询危害
需要治疗还是在恢复一段时间在检查,无
试管婴儿多久转到产科,无
就是想问下做了这个手术一般要几天能做试管呢,咨询恢复期
那就是可以调理好对吧,咨询疗效
